Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Eritrea,2020-04-15 00:43:14,15.1794,39.7823,35,0,0,35,0.9869087958105439,,,0.0,232,ERI
Ethiopia,2020-04-15 00:43:14,9.145,40.4897,82,3,14,65,0.07132693489554862,,,3.658536585365854,231,ETH
