Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Iowa,US,2020-04-15 00:43:34,42.0115,-93.2105,1899,49,741,1850.0,19,72.46119662855108,18885,163,2.5803054239073195,84000019,USA,720.605423028008,8.583464981569247
Kansas,US,2020-04-15 00:43:34,38.5266,-96.7265,1441,69,,1372.0,20,59.093995951589676,14147,327,4.788341429562804,84000020,USA,580.1545875969043,22.692574600971547
